"Mã tỉnh thành","Tỉnh Thành","Mã huyện thị","Quận Huyện"
"01","Hà Nội","001","Quận Ba Đình"
"01","Hà Nội","002","Quận Hoàn Kiếm"
"01","Hà Nội","003","Quận Tây Hồ"
"01","Hà Nội","004","Quận Long Biên"
"01","Hà Nội","005","Quận Cầu Giấy"
"01","Hà Nội","006","Quận Đống Đa"
"01","Hà Nội","007","Quận Hai Bà Trưng"
"01","Hà Nội","008","Quận Hoàng Mai"
"01","Hà Nội","009","Quận Thanh Xuân"
"01","Hà Nội","016","Huyện Sóc Sơn"
"01","Hà Nội","017","Huyện Đông Anh"
"01","Hà Nội","018","Huyện Gia Lâm"
"01","Hà Nội","019","Quận Nam Từ Liêm"
"01","Hà Nội","020","Huyện Thanh Trì"
"01","Hà Nội","021","Quận Bắc Từ Liêm"
"01","Hà Nội","250","Huyện Mê Linh"
"01","Hà Nội","268","Quận Hà Đông"
"01","Hà Nội","269","Thị xã Sơn Tây"
"01","Hà Nội","271","Huyện Ba Vì"
"01","Hà Nội","272","Huyện Phúc Thọ"
"01","Hà Nội","273","Huyện Đan Phượng"
"01","Hà Nội","274","Huyện Hoài Đức"
"01","Hà Nội","275","Huyện Quốc Oai"
"01","Hà Nội","276","Huyện Thạch Thất"
"01","Hà Nội","277","Huyện Chương Mỹ"
"01","Hà Nội","278","Huyện Thanh Oai"
"01","Hà Nội","279","Huyện Thường Tín"
"01","Hà Nội","280","Huyện Phú Xuyên"
"01","Hà Nội","281","Huyện Ứng Hòa"
"01","Hà Nội","282","Huyện Mỹ Đức"
"02","Hà Giang","024","Thành phố Hà Giang"
"02","Hà Giang","026","Huyện Đồng Văn"
"02","Hà Giang","027","Huyện Mèo Vạc"
"02","Hà Giang","028","Huyện Yên Minh"
"02","Hà Giang","029","Huyện Quản Bạ"
"02","Hà Giang","030","Huyện Vị Xuyên"
"02","Hà Giang","031","Huyện Bắc Mê"
"02","Hà Giang","032","Huyện Hoàng Su Phì"
"02","Hà Giang","033","Huyện Xín Mần"
"02","Hà Giang","034","Huyện Bắc Quang"
"02","Hà Giang","035","Huyện Quang Bình"
"04","Cao Bằng","040","Thành phố Cao Bằng"
"04","Cao Bằng","042","Huyện Bảo Lâm"
"04","Cao Bằng","043","Huyện Bảo Lạc"
"04","Cao Bằng","045","Huyện Hà Quảng"
"04","Cao Bằng","047","Huyện Trùng Khánh"
"04","Cao Bằng","048","Huyện Hạ Lang"
"04","Cao Bằng","049","Huyện Quảng Hòa"
"04","Cao Bằng","051","Huyện Hoà An"
"04","Cao Bằng","052","Huyện Nguyên Bình"
"04","Cao Bằng","053","Huyện Thạch An"
"06","Bắc Kạn","058","Thành Phố Bắc Kạn"
"06","Bắc Kạn","060","Huyện Pác Nặm"
"06","Bắc Kạn","061","Huyện Ba Bể"
"06","Bắc Kạn","062","Huyện Ngân Sơn"
"06","Bắc Kạn","063","Huyện Bạch Thông"
"06","Bắc Kạn","064","Huyện Chợ Đồn"
"06","Bắc Kạn","065","Huyện Chợ Mới"
"06","Bắc Kạn","066","Huyện Na Rì"
"08","Tuyên Quang","070","Thành phố Tuyên Quang"
"08","Tuyên Quang","071","Huyện Lâm Bình"
"08","Tuyên Quang","072","Huyện Na Hang"
"08","Tuyên Quang","073","Huyện Chiêm Hóa"
"08","Tuyên Quang","074","Huyện Hàm Yên"
"08","Tuyên Quang","075","Huyện Yên Sơn"
"08","Tuyên Quang","076","Huyện Sơn Dương"
"10","Lào Cai","080","Thành phố Lào Cai"
"10","Lào Cai","082","Huyện Bát Xát"
"10","Lào Cai","083","Huyện Mường Khương"
"10","Lào Cai","084","Huyện Si Ma Cai"
"10","Lào Cai","085","Huyện Bắc Hà"
"10","Lào Cai","086","Huyện Bảo Thắng"
"10","Lào Cai","087","Huyện Bảo Yên"
"10","Lào Cai","088","Thị xã Sa Pa"
"10","Lào Cai","089","Huyện Văn Bàn"
"11","Điện Biên","094","Thành phố Điện Biên Phủ"
"11","Điện Biên","095","Thị Xã Mường Lay"
"11","Điện Biên","096","Huyện Mường Nhé"
"11","Điện Biên","097","Huyện Mường Chà"
"11","Điện Biên","098","Huyện Tủa Chùa"
"11","Điện Biên","099","Huyện Tuần Giáo"
"11","Điện Biên","100","Huyện Điện Biên"
"11","Điện Biên","101","Huyện Điện Biên Đông"
"11","Điện Biên","102","Huyện Mường Ảng"
"11","Điện Biên","103","Huyện Nậm Pồ"
"12","Lai Châu","105","Thành phố Lai Châu"
"12","Lai Châu","106","Huyện Tam Đường"
"12","Lai Châu","107","Huyện Mường Tè"
"12","Lai Châu","108","Huyện Sìn Hồ"
"12","Lai Châu","109","Huyện Phong Thổ"
"12","Lai Châu","110","Huyện Than Uyên"
"12","Lai Châu","111","Huyện Tân Uyên"
"12","Lai Châu","112","Huyện Nậm Nhùn"
"14","Sơn La","116","Thành phố Sơn La"
"14","Sơn La","118","Huyện Quỳnh Nhai"
"14","Sơn La","119","Huyện Thuận Châu"
"14","Sơn La","120","Huyện Mường La"
"14","Sơn La","121","Huyện Bắc Yên"
"14","Sơn La","122","Huyện Phù Yên"
"14","Sơn La","123","Huyện Mộc Châu"
"14","Sơn La","124","Huyện Yên Châu"
"14","Sơn La","125","Huyện Mai Sơn"
"14","Sơn La","126","Huyện Sông Mã"
"14","Sơn La","127","Huyện Sốp Cộp"
"14","Sơn La","128","Huyện Vân Hồ"
"15","Yên Bái","132","Thành phố Yên Bái"
"15","Yên Bái","133","Thị xã Nghĩa Lộ"
"15","Yên Bái","135","Huyện Lục Yên"
"15","Yên Bái","136","Huyện Văn Yên"
"15","Yên Bái","137","Huyện Mù Căng Chải"
"15","Yên Bái","138","Huyện Trấn Yên"
"15","Yên Bái","139","Huyện Trạm Tấu"
"15","Yên Bái","140","Huyện Văn Chấn"
"15","Yên Bái","141","Huyện Yên Bình"
"17","Hòa Bình","148","Thành phố Hòa Bình"
"17","Hòa Bình","150","Huyện Đà Bắc"
"17","Hòa Bình","152","Huyện Lương Sơn"
"17","Hòa Bình","153","Huyện Kim Bôi"
"17","Hòa Bình","154","Huyện Cao Phong"
"17","Hòa Bình","155","Huyện Tân Lạc"
"17","Hòa Bình","156","Huyện Mai Châu"
"17","Hòa Bình","157","Huyện Lạc Sơn"
"17","Hòa Bình","158","Huyện Yên Thủy"
"17","Hòa Bình","159","Huyện Lạc Thủy"
"19","Thái Nguyên","164","Thành phố Thái Nguyên"
"19","Thái Nguyên","165","Thành phố Sông Công"
"19","Thái Nguyên","167","Huyện Định Hóa"
"19","Thái Nguyên","168","Huyện Phú Lương"
"19","Thái Nguyên","169","Huyện Đồng Hỷ"
"19","Thái Nguyên","170","Huyện Võ Nhai"
"19","Thái Nguyên","171","Huyện Đại Từ"
"19","Thái Nguyên","172","Thành phố Phổ Yên"
"19","Thái Nguyên","173","Huyện Phú Bình"
"20","Lạng Sơn","178","Thành phố Lạng Sơn"
"20","Lạng Sơn","180","Huyện Tràng Định"
"20","Lạng Sơn","181","Huyện Bình Gia"
"20","Lạng Sơn","182","Huyện Văn Lãng"
"20","Lạng Sơn","183","Huyện Cao Lộc"
"20","Lạng Sơn","184","Huyện Văn Quan"
"20","Lạng Sơn","185","Huyện Bắc Sơn"
"20","Lạng Sơn","186","Huyện Hữu Lũng"
"20","Lạng Sơn","187","Huyện Chi Lăng"
"20","Lạng Sơn","188","Huyện Lộc Bình"
"20","Lạng Sơn","189","Huyện Đình Lập"
"22","Quảng Ninh","193","Thành phố Hạ Long"
"22","Quảng Ninh","194","Thành phố Móng Cái"
"22","Quảng Ninh","195","Thành phố Cẩm Phả"
"22","Quảng Ninh","196","Thành phố Uông Bí"
"22","Quảng Ninh","198","Huyện Bình Liêu"
"22","Quảng Ninh","199","Huyện Tiên Yên"
"22","Quảng Ninh","200","Huyện Đầm Hà"
"22","Quảng Ninh","201","Huyện Hải Hà"
"22","Quảng Ninh","202","Huyện Ba Chẽ"
"22","Quảng Ninh","203","Huyện Vân Đồn"
"22","Quảng Ninh","205","Thị xã Đông Triều"
"22","Quảng Ninh","206","Thị xã Quảng Yên"
"22","Quảng Ninh","207","Huyện Cô Tô"
"24","Bắc Giang","213","Thành phố Bắc Giang"
"24","Bắc Giang","215","Huyện Yên Thế"
"24","Bắc Giang","216","Huyện Tân Yên"
"24","Bắc Giang","217","Huyện Lạng Giang"
"24","Bắc Giang","218","Huyện Lục Nam"
"24","Bắc Giang","219","Huyện Lục Ngạn"
"24","Bắc Giang","220","Huyện Sơn Động"
"24","Bắc Giang","221","Huyện Yên Dũng"
"24","Bắc Giang","222","Huyện Việt Yên"
