Price;Location;Spare;Length;Width;Direction;Amenities,,,,
1.39 tỷ; Phường Uyên Hưng, Thị xã Tân Uyên, Bình Dương; 65 m²; --; --; --;1,,
1.6 tỷ; Xã Hội Nghĩa, Thị xã Tân Uyên, Bình Dương; 72 m²; --; --; --;1,,
890 triệu; Phường Thới Hòa, Thị xã Bến Cát, Bình Dương; 100 m²; 20 m; 5 m; --;0,,
1.02 tỷ; Phường Tân Định, Thị xã Bến Cát, Bình Dương; 100 m²; 20 m; 5 m; --;0,,
830 triệu; Phường Thới Hòa, Thị xã Bến Cát, Bình Dương; 100 m²; 20 m; 5 m; --;0,,
900 triệu; Phường Thới Hòa, Thị xã Bến Cát, Bình Dương; 100 m²; 20 m; 5 m; --;0,,
940 triệu; Đường 13, Phường Tân Định, Thị xã Bến Cát, Bình Dương; 100 m²; 20 m; 5 m; --;0,
640 triệu; QL50, Xã Mỹ Lệ, Huyện Cần Đước, Long An; 104 m²; --; --; --;1,
900 triệu; Xã Ninh Phú, Thị xã Ninh Hòa, Khánh Hòa; 69 m²; 14 m; 5 m; Bắc;0,,
1.5 tỷ; Thị trấn Lộc Thắng, Huyện Bảo Lâm, Lâm Đồng; 500 m²; 10 m; 50 m; --;1,,
1.36 tỷ; Đường Trần Hưng Đạo, Phường Tiến Thành, TP. Đồng Xoài, Bình Phước; 150 m²; 25 m; 6 m; --;1,
360 triệu; PHAN THÚC DUYỆN , Phường Vĩnh Điện, Thị xã Điện Bàn, Quảng Nam; 150 m²; 30 m; 5 m; --;1,
840 triệu; Phan Chu Trinh, Thị trấn Đông Phú, Huyện Quế Sơn, Quảng Nam; 120 m²; 20 m; 6 m; Đ.Bắc;1,
5.67 tỷ; Hạ Lôi, Xã Mê Linh, Huyện Mê Linh, TP. Hà Nội; 70 m²; 10 m; 7 m; --;0,
900 triệu; Xã Phú Lộc, Huyện Krông Năng, Đắk Lắk; 132 m²; 22 m; 6 m; Đ.Nam;1,,
900 triệu; Xã Phú Lộc, Huyện Krông Năng, Đắk Lắk; 138 m²; --; --; --;0,,
500 triệu; Đồng Văn Dẫn, Thị trấn Thạnh Phú, Huyện Thạnh Phú, Bến Tre; 107 m²; 22 m; 5 m; --;1,
4.9 tỷ; Đường Lý Sơn, Phường Ngọc Thụy, Quận Long Biên, TP Hà Nội; 70 m²; 18 m; 4 m; --;0,
480 triệu; Xã Bến Củi, Huyện Dương Minh Châu, Tây Ninh; 140 m²; 28 m; 5 m; --;0,,
6 tỷ; Đường Nguyễn Mậu Tài, Thị trấn Trâu Quỳ, Huyện Gia Lâm, TP. Hà Nội; 60 m²; --; --; --;0,
900 triệu; Đường ĐT 316 Hưng Hóa, Tam Nông, Phú Thọ; 80 m²; 16 m; 5 m; --;0,,
480 triệu; Đường Nguyễn Văn Cừ, Xã Lộc Phú, Huyện Bảo Lâm, Lâm Đồng; 130 m²; 30 m; 7 m; --;1,
580 triệu; Xã Thạnh Đức, Huyện Gò Dầu, Tây Ninh; 125 m²; 25 m; 5 m; --;0,,
949 triệu; Đường Âu Cơ, Phường 1, TP Bảo Lộc, Lâm Đồng; 190 m²; 38 m; 5 m; --;0,
1.58 tỷ; Đường Võ Nguyên Giáp Mai Đình, Sóc Sơn, Hà Nội; 60 m²; 13.5 m; 4.5 m; --;0,,
1.36 tỷ; Phường Thủy Vân, TP. Huế, Thừa Thiên Huế; 150 m²; 17 m; 8 m; Tây;0,,
1.35 tỷ; Phường Hoà Nghĩa, Quận Dương Kinh, TP. Hải Phòng; 40 m²; --; --; --;0,,
280 triệu; TL623B, Xã Nghĩa Lâm, Huyện Tư Nghĩa, Quảng Ngãi; 130 m²; 20 m; 5 m; Bắc;1,
1.45 tỷ; Đường Long Tân-Láng Dài, Xã Phước Long Thọ, Huyện Đất Đỏ, Bà Rịa Vũng Tàu; 1,012 m²; 40 m; 26 m; --;0
990 triệu; Xã Lộc Tân, Huyện Bảo Lâm, Lâm Đồng; 500 m²; --; --; --;0,,
7.8 tỷ; Đường Vạn Thành, phường 5, Đà Lạt, Lâm Đồng; 195 m²; 28 m; 5.27 m; --;0,
17.2 tỷ; Đường Quốc Lộ 20, Xã Hiệp An, Huyện Đức Trọng, Lâm Đồng; 3,300 m²; 60 m; 55 m; --;0
739 triệu; Xã Tân Phúc, Huyện Ân Thi, Hưng Yên; 81 m²; 16.2 m; 5 m; --;0,,
4.63 tỷ; Thị trấn Trâu Quỳ, Huyện Gia Lâm, TP. Hà Nội; 109 m²; --; 5.3 m; Đ.Nam;1,,
790 triệu; Xã An Tịnh, Huyện Trảng Bàng, Tây Ninh; 150 m²; --; --; --;1,,
899 triệu; Đường 29 Krông Năng, Krong Năng, Đăk Lăk; 132 m²; 23 m; 6 m; --;0,,
739 triệu; Xã Tân Phúc, Huyện Ân Thi, Hưng Yên; 78 m²; --; --; --;0,,
389 triệu; Đường 788, Xã Phước Vinh, Huyện Châu Thành, Tây Ninh; 170 m²; 25 m; 7 m; --;1,
739 triệu; Xã Tân Phúc, Huyện Ân Thi, Hưng Yên; 75 m²; 15 m; 5 m; --;0,,
17.2 tỷ; Đường Lương Định Của Phường 11, Đà Lạt, Lâm Đồng; 650 m²; 60 m; 55 m; --;0,,
739 triệu; Xã Tân Phúc, Huyện Ân Thi, Hưng Yên; 70 m²; 14 m; 5 m; --;0,,
500 triệu; Xã An Tịnh, Huyện Trảng Bàng, Tây Ninh; 100 m²; --; --; --;1,,
1.4 tỷ; Đường 1, Phường An Khánh, TP Thủ Đức, TPHCM; 125 m²; --; 5.5 m; --;0,
1.39 tỷ; Đường Quốc lộ 1A, Xã Phước Thể, Huyện Tuy Phong, Bình Thuận; 125 m²; 5.5 m; 19 m; Bắc;1,
380 triệu; Hương Lộ 2, Xã Trung Lập Thượng, Huyện Củ Chi, TP. Hồ Chí Minh; 250 m²; 25 m; 10 m; --;1,
8.6 tỷ; Đường 55, Xã Lộc Nam, Huyện Bảo Lâm, Lâm Đồng; 1,832 m²; 312 m; 65 m; --;0
899 triệu; Đường Liên Thôn, Xã Nhị Khê, Huyện Thường Tín, TP Hà Nội; 132 m²; 22 m; 6 m; --;0,
2.19 tỷ; Xã Hòa Thắng, Huyện Bắc Bình, Bình Thuận; 19,692 m²; --; --; --;1,
750 triệu; Xã Đạm Bri, TP. Bảo Lộc, Lâm Đồng; 1,000 m²; --; --; --;0,
2.35 tỷ; Đường Nguyễn Thị Búp, Phường Hiệp Thành, Quận 12, TPHCM; 100 m²; 20 m; 5 m; --;0,
8.6 tỷ; Đường 55, Xã Lộc Nam, Huyện Bảo Lâm, Lâm Đồng; 1,832 m²; 312 m; 65 m; --;0
600 triệu; Đường Quốc Lộ 1, Phường 4, TP. Tân An, Long An; 60 m²; 15 m; 4 m; --;1,
2.5 tỷ; Đường Thượng Thanh, Phường Thượng Thanh, Quận Long Biên, TP Hà Nội; 41 m²; 10.1 m; 4 m; --;0,
899 triệu; Xã Phú Lộc, Huyện Krông Năng, Đắk Lắk; 132 m²; --; --; --;0,,
620 triệu; Xã Tân Bình, TP. Tây Ninh, Tây Ninh; 198 m²; 33 m; 6 m; Tây;1,,
2.3 tỷ; Đường Trang Quan, Xã An Đồng, Huyện An Dương, TP Hải Phòng; 80 m²; 5 m; 16 m; --;0,
2.2 tỷ; Xã Đức Hòa Đông, Huyện Đức Hòa, Long An; 90 m²; 18 m; 5 m; --;1,,
10.2 tỷ; Phường Quyết Thắng, TP Lai Châu, Tỉnh Lai Châu; 600 m²; --; --; --;0,,
2.65 tỷ; Đường Vĩnh Khê An Đồng, An Dương, Hải Phòng; 100 m²; 20 m; 5 m; --;0,,
18.49 tỷ; Đường Đinh Tiên Hoàng, Phường Dư Hàng, Quận Lê Chân, TP. Hải Phòng; 234 m²; --; --; --;0,
9 tỷ; Phường Cẩm An, TP. Hội An, Quảng Nam; 200 m²; --; --; --;0,,
2.66 tỷ; Xã Tam Hiệp, Huyện Núi Thành, Quảng Nam; 175 m²; 25 m; 6.99 m; Đ.Bắc;1,,
800 triệu; Thị trấn Thạnh Phú, Huyện Thạnh Phú, Bến Tre; 120 m²; 24 m; 5 m; --;1,,
280 triệu; TL 623B, Xã Nghĩa Lâm, Huyện Tư Nghĩa, Quảng Ngãi; 130 m²; 20 m; 5 m; Bắc;1,
2.6 tỷ; Đường 30/4, Phường Châu Phú B, TP Châu Đốc, An Giang; 105 m²; --; --; --;0,
1 tỷ; Đường Đồng Văn Dẫn, Thị trấn Thạnh Phú, Huyện Thạnh Phú, Bến Tre; 213 m²; 22 m; 10 m; --;1,
280 triệu; DT623B, Xã Nghĩa Lâm, Huyện Tư Nghĩa, Quảng Ngãi; 120 m²; 23 m; 5 m; Đ.Bắc;1,
