,Date,Town,District,Province,Spare,Length,Width,Amenities,Direction,Price
0,9/29/2022,Xã Tiến Xuân,Huyện Thạch Thất,TP. Hà Nội,1420.0,0.0,0.0,0,Unknow,31.24
1,9/29/2022,Phường Ea Tam,TP. Buôn Ma Thuột,Đắk Lắk,155.0,31.0,5.0,0,Unknow,2.1
3,9/29/2022,Thị trấn Thủ Thừa,Huyện Thủ Thừa,Long An,85.0,17.0,5.0,1,Unknow,0.95
4,9/29/2022,Phường 8,TP. Đà Lạt,Lâm Đồng,650.0,0.0,0.0,1,Bắc,30.5
5,9/29/2022,Thị trấn Krông Năng,Huyện Krông Năng,Đắk Lắk,132.0,22.0,6.0,1,Unknow,0.899
8,9/29/2022,Phường Hưng Phúc,TP. Vinh,Nghệ An,150.0,7.5,20.0,1,Đông,10.5
9,9/29/2022,Phường Minh Hưng,Thị xã Chơn Thành,Bình Phước,830.0,32.0,29.99,0,Unknow,0.48
10,9/29/2022,Phường Thới An,Quận 12,TP. Hồ Chí Minh,80.0,0.0,0.0,1,Unknow,2.15
12,9/29/2022,Phường Long Bình,TP. Thủ Đức,TP. Hồ Chí Minh,90.0,0.0,0.0,1,Unknow,1.99
14,9/29/2022,Xã Phước Minh,Huyện Bù Gia Mập,Bình Phước,13378.0,0.0,0.0,0,Unknow,4.0
19,9/29/2022,Xã Phú Lộc,Huyện Krông Năng,Đắk Lắk,132.0,6.0,22.0,1,Đông,0.899
20,9/29/2022,Thị trấn NT Mộc Châu,Huyện Mộc Châu,Sơn La,288.0,0.0,0.0,1,Unknow,1.62
22,9/29/2022,Thị trấn Bến Cầu,Huyện Bến Cầu,Tây Ninh,400.0,0.0,0.0,0,Unknow,0.999
23,9/29/2022,Xã Sơn Mỹ,Huyện Hàm Tân,Bình Thuận,2590.0,50.0,48.0,1,Đông,9.6
24,9/29/2022,Thị trấn Thủ Thừa,Huyện Thủ Thừa,Long An,85.0,5.0,17.0,1,Unknow,1.3
27,9/29/2022,Xã An Nhơn Tây,Huyện Củ Chi,TP. Hồ Chí Minh,180.0,0.0,0.0,0,Unknow,0.5
28,9/29/2022,Phường Hải Thành,Quận Dương Kinh,TP. Hải Phòng,88.0,22.0,4.0,1,Unknow,2.33
29,9/29/2022,Xã Bàu Đồn,Huyện Gò Dầu,Tây Ninh,157.0,34.0,5.0,1,Unknow,0.78
30,9/29/2022,Thị trấn Krông Năng,Huyện Krông Năng,Đắk Lắk,132.0,22.0,6.0,1,Unknow,0.899
32,9/29/2022,Xã Thuận Lợi,Huyện Đồng Phú,Bình Phước,220.0,6.0,42.99,0,Unknow,0.6
33,9/29/2022,Xã Thuận Lợi,Huyện Đồng Phú,Bình Phước,200.0,5.0,40.0,0,Unknow,0.58
35,9/29/2022,Phường 6,TP. Đà Lạt,Lâm Đồng,123.0,0.0,0.0,1,T.Bắc,6.5
37,9/29/2022,Xã Hương Mạc,Thị xã Từ Sơn,Bắc Ninh,51.0,0.0,0.0,0,Unknow,1.29
45,9/29/2022,Phường 7,Quận 8,TP. Hồ Chí Minh,90.0,0.0,0.0,1,Unknow,1.89
46,9/29/2022,Phường Hiệp Bình Phước,TP. Thủ Đức,TP. Hồ Chí Minh,80.0,16.0,5.0,1,Unknow,2.4
47,9/29/2022,Phường Sa Pa,Thị xã Sa Pa,Lào Cai,320.0,0.0,0.0,1,Unknow,16.0
49,9/29/2022,Phường Tân Thành,Quận Dương Kinh,TP. Hải Phòng,139.0,14.0,10.0,1,Unknow,3.53
51,9/29/2022,Xã Tả Phìn,Thị xã Sa Pa,Lào Cai,320.0,0.0,20.0,1,Unknow,1.5
52,9/29/2022,Xã Hương Mạc,Thị xã Từ Sơn,Bắc Ninh,115.0,0.0,0.0,1,Unknow,2.19
53,9/29/2022,Phường Vĩnh Phú,TP. Thuận An,Bình Dương,85.0,17.0,5.0,1,Unknow,1.65
54,9/29/2022,Xã Hương Mạc,Thị xã Từ Sơn,Bắc Ninh,115.0,0.0,0.0,0,Unknow,2.19
55,9/29/2022,Thị trấn Krông Năng,Huyện Krông Năng,Đắk Lắk,132.0,22.0,6.0,1,Unknow,0.899
56,9/29/2022,Xã Khánh Hiệp,Huyện Khánh Vĩnh,Khánh Hòa,1066.0,0.0,0.0,0,Unknow,0.385
57,9/29/2022,Xã Khánh Hiệp,Huyện Khánh Vĩnh,Khánh Hòa,1066.0,0.0,0.0,0,Unknow,0.42
58,9/29/2022,Xã Vạn Long,Huyện Vạn Ninh,Khánh Hòa,103.0,6.0,0.0,0,Unknow,1.62
59,9/29/2022,Thị trấn Bến Lức,Huyện Bến Lức,Long An,1409.0,10.0,100.0,1,Đông,1.45
60,9/29/2022,Phường Phước Long B,TP. Thủ Đức,TP. Hồ Chí Minh,80.0,0.0,0.0,1,Unknow,1.9
61,9/29/2022,Xã Phước Hòa,Huyện Tuy Phước,Bình Định,80.0,16.0,5.0,1,Unknow,2.0
62,9/29/2022,Phường Phú Mỹ,Quận 7,TP. Hồ Chí Minh,90.0,0.0,0.0,1,Unknow,2.99
63,9/29/2022,Xã Đồi 61,Huyện Trảng Bom,Đồng Nai,1115.0,0.0,0.0,0,Unknow,11.0
64,9/29/2022,Xã Long Phước,TP. Bà Rịa,Bà Rịa - Vũng Tàu,398.0,10.0,39.0,1,Unknow,2.79
65,9/29/2022,Xã Gia Bình,Huyện Trảng Bàng,Tây Ninh,100.0,5.8,18.0,1,Unknow,0.73
66,9/29/2022,Xã Xuân Thọ,TP. Đà Lạt,Lâm Đồng,233.0,0.0,0.0,1,Đ.Nam,6.1
69,9/29/2022,phường 6,quận Gò Vấp,TP.Hồ Chí Minh,120.0,20.0,6.0,0,Unknow,11.5
