Ngày; close 
02/01/2018;992,72
03/01/2018;1.004,66
04/01/2018;1.014,15
05/01/2018;1.007,73
08/01/2018;1.023,50
09/01/2018;1.039,64
10/01/2018;1.039,70
11/01/2018;1.047,20
12/01/2018;1.049,86
15/01/2018;1.063,11
16/01/2018;1.061,78
17/01/2018;1.030,00
18/01/2018;1.048,56
19/01/2018;1.053,47
22/01/2018;1.082,71
23/01/2018;1.082,71
25/01/2018;1.095,52
26/01/2018;1.104,42
29/01/2018;1.096,78
30/01/2018;1.099,16
31/01/2018;1.095,90
01/02/2018;1.086,90
02/02/2018;1.090,40
05/02/2018;1.035,02
06/02/2018;1.007,72
07/02/2018;1.030,91
08/02/2018;1.013,56
09/02/2018;996,77
12/02/2018;1.034,76
13/02/2018;1.054,09
21/02/2018;1.075,47
22/02/2018;1.064,28
23/02/2018;1.089,96
26/02/2018;1.099,71
27/02/2018;1.106,09
28/02/2018;1.108,23
01/03/2018;1.105,84
02/03/2018;1.106,92
05/03/2018;1.080,83
06/03/2018;1.103,31
07/03/2018;1.092,17
08/03/2018;1.105,03
09/03/2018;1.106,54
12/03/2018;1.106,97
13/03/2018;1.111,38
14/03/2018;1.115,00
15/03/2018;1.110,26
16/03/2018;1.112,93
19/03/2018;1.130,26
20/03/2018;1.134,19
21/03/2018;1.147,26
22/03/2018;1.144,58
23/03/2018;1.128,93
26/03/2018;1.146,73
27/03/2018;1.150,30
28/03/2018;1.151,09
29/03/2018;1.144,74
30/03/2018;1.153,08
02/04/2018;1.171,21
03/04/2018;1.160,97
04/04/2018;1.165,75
05/04/2018;1.169,12
06/04/2018;1.174,37
09/04/2018;1.177,68
10/04/2018;1.168,06
11/04/2018;1.137,20
12/04/2018;1.143,50
13/04/2018;1.134,21
16/04/2018;1.128,03
17/04/2018;1.130,32
18/04/2018;1.115,70
19/04/2018;1.066,09
20/04/2018;1.089,45
23/04/2018;1.055,37
24/04/2018;1.053,99
26/04/2018;1.018,97
27/04/2018;1.027,97
02/05/2018;1.012,84
03/05/2018;1.010,35
04/05/2018;1.010,89
07/05/2018;1.048,03
08/05/2018;1.047,83
09/05/2018;1.046,39
10/05/2018;1.019,69
11/05/2018;1.030,79
14/05/2018;1.051,45
15/05/2018;1.055,49
16/05/2018;1.034,30
17/05/2018;1.007,09
18/05/2018;1.022,21
21/05/2018;997,21
22/05/2018;958,95
23/05/2018;968,54
24/05/2018;960,55
25/05/2018;936,32
28/05/2018;898
29/05/2018;924,9
30/05/2018;918,64
31/05/2018;947,31
01/06/2018;969,15
04/06/2018;996,67
05/06/2018;1.007,32
06/06/2018;1.022,72
07/06/2018;1.026,75
08/06/2018;1.025,87
11/06/2018;1.024,85
12/06/2018;1.008,76
13/06/2018;1.018,59
14/06/2018;1.004,31
15/06/2018;1.005,04
18/06/2018;970,35
19/06/2018;945,11
20/06/2018;966,86
21/06/2018;955,75
22/06/2018;973,05
25/06/2018;982,09
26/06/2018;973,9
27/06/2018;961,29
28/06/2018;947,03
29/06/2018;947,55
02/07/2018;930,12
03/07/2018;891,97
04/07/2018;900,89
05/07/2018;883,77
06/07/2018;905,62
09/07/2018;898,73
10/07/2018;897,96
11/07/2018;881,14
12/07/2018;883,87
13/07/2018;899,45
16/07/2018;904,18
17/07/2018;915,53
18/07/2018;935,42
19/07/2018;941,09
20/07/2018;926,5
23/07/2018;931,31
24/07/2018;923,53
25/07/2018;915,68
26/07/2018;921,33
27/07/2018;927,19
30/07/2018;939,6
31/07/2018;944,38
01/08/2018;939,31
02/08/2018;937,86
03/08/2018;941,12
06/08/2018;939,84
07/08/2018;936,92
08/08/2018;945,89
09/08/2018;943,91
10/08/2018;948,32
13/08/2018;960,02
14/08/2018;965,6
15/08/2018;947,82
16/08/2018;950,18
17/08/2018;949,23
20/08/2018;945,65
21/08/2018;955,27
22/08/2018;959,63
23/08/2018;960,94
24/08/2018;960,42
27/08/2018;966,55
28/08/2018;971,01
29/08/2018;964,99
30/08/2018;975,43
31/08/2018;969,23
04/09/2018;951,14
05/09/2018;941
06/09/2018;932,12
07/09/2018;945,59
10/09/2018;943,31
11/09/2018;958,91
12/09/2018;958,67
13/09/2018;957,17
14/09/2018;960,33
17/09/2018;953,79
18/09/2018;959,75
19/09/2018;962,7
20/09/2018;971,18
21/09/2018;974,43
24/09/2018;985,59
25/09/2018;985,11
26/09/2018;984,39
27/09/2018;989,45
28/09/2018;994,73
01/10/2018;990,41
02/10/2018;987,88
03/10/2018;990,6
04/10/2018;993,61
05/10/2018;980,75
08/10/2018;970,28
09/10/2018;967,37
10/10/2018;966,27
11/10/2018;920,02
12/10/2018;943,49
15/10/2018;928,55
16/10/2018;939,41
17/10/2018;945,91
18/10/2018;937,54
19/10/2018;931,69
22/10/2018;922,75
23/10/2018;908
24/10/2018;896,5
25/10/2018;888,86
26/10/2018;881,06
29/10/2018;874,43
30/10/2018;874,06
31/10/2018;901,57
01/11/2018;887,72
02/11/2018;903,43
05/11/2018;904,83
06/11/2018;899,61
07/11/2018;899,25
08/11/2018;900,4
09/11/2018;885,65
12/11/2018;888,2
13/11/2018;873,87
14/11/2018;871,55
15/11/2018;864,98
16/11/2018;869,24
19/11/2018;888,76
20/11/2018;893,09
21/11/2018;897,1
22/11/2018;898,9
23/11/2018;890,62
26/11/2018;895,05
27/11/2018;895,3
28/11/2018;901,4
29/11/2018;897,58
30/11/2018;894,79
03/12/2018;921,72
04/12/2018;927,46
05/12/2018;925,68
06/12/2018;922,86
07/12/2018;929,59
